Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
London Calling,The Clash,spotify:track:3Kr9P2blunzFYEKQygbOoP,0.654,0.799,0,-6.92,1,0.0501,0.0706,0,0.0844,0.755,133.731,199733,4,20.11393,8,0
September,Earth, Wind & Fire,spotify:track:7Cuk8jsPPoNYQWXK9XRFvG,0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,215080,4,20.17762,12,1
(For God's Sake) Give More Power To The People,The Chi-lites,spotify:track:0dVabf3Sm1uHODq1vz2Lts,0.665,0.552,6,-10.177,1,0.0307,0.493,0.0272,0.421,0.899,96.889,180133,4,20.84337,8,1
Mozambique,Bob Dylan,spotify:track:1gpQMd0R3blMSn8vhXU0Uu,0.726,0.863,7,-8.191,1,0.0293,0.0451,0.000153,0.109,0.821,127.68,180800,4,21.48641,12,1
Dedicada a ela,Arthur Verocai,spotify:track:0eVnhQNFTRZXOIhHZNLX85,0.315,0.318,4,-14.946,0,0.028,0.458,0.465,0.073,0.504,60.085,213427,4,40.33327,9,0
Rainbow Connection - From "The Muppet Movie"/Soundtrack Version,Kermit,spotify:track:4Fx3LVYQXplhz70cfoqbgq,0.709,0.311,9,-13.637,1,0.0386,0.53,0,0.0976,0.361,115.147,195813,3,47.61441,9,0
Don't Lie To Me,Big Star,spotify:track:5gPMwMDeJ57uEkjOyHjg8A,0.263,0.834,10,-8.829,1,0.0636,0.000641,0.237,0.11,0.277,133.011,187533,4,37.90206,9,0
Flute Thing,Seatrain,spotify:track:0tSw8aQVeaULvNi6H8QFWB,0.626,0.556,9,-10.541,0,0.258,0.526,0.76,0.0809,0.343,129.821,472853,4,132.43577,18,0
The Light Pours Out Of Me,Magazine,spotify:track:2dXOr0TcdwJsEhZ2Jel2qy,0.583,0.655,9,-10.205,1,0.0449,0.00321,0.111,0.179,0.868,136.013,276840,4,27.90064,15,0
The Passenger,Iggy Pop,spotify:track:3yP0cohcr97BUNJcgvmSVg,0.5,0.846,0,-8.098,1,0.0457,0.0797,0,0.241,0.738,134.937,284067,4,43.44105,13,0
Kraan Arabia,Kraan,spotify:track:6aqqc5B1r2Mv9wO6bd7m4L,0.447,0.481,11,-11.458,0,0.0478,0.00554,0.818,0.0993,0.399,122.901,597227,4,35.97959,27,0
I Know 'bout The Life,Archie Shepp,spotify:track:36ZKzWEMm8Bv1z9K60aSiD,0.404,0.268,0,-11.739,1,0.0321,0.772,1.04e-05,0.178,0.151,106.864,328067,4,23.80384,17,0
It's All Right Now,Eddie Harris,spotify:track:2uydRlPZMHwiXwLOwxtyja,0.842,0.632,10,-12.928,0,0.0627,0.28,0.143,0.0357,0.925,167.782,236520,4,18.7975,12,0
Misty Blue,Dorothy Moore,spotify:track:20JcxdRw8gvqTY1EEpYxHb,0.394,0.243,3,-14.664,1,0.0302,0.658,0.00603,0.085,0.504,173.365,222400,3,37.87154,9,1
Another Night - 2008 Remaster,The Hollies,spotify:track:6XGpXFd88No06yOO68g3lN,0.727,0.814,9,-5.517,0,0.0294,0.113,0.0193,0.155,0.87,110.776,237520,4,23.1149,13,0
So What,Geordie,spotify:track:1irVe7IbYwqTAEszID8ZEM,0.617,0.509,2,-14.933,1,0.0548,0.000768,0.0373,0.084,0.646,116.593,253400,4,97.01926,9,0
Beam Me Up Scotty,Fingerprintz,spotify:track:31Sm4gGw3Q50j7JKwbVeqQ,0.447,0.716,0,-9.724,1,0.0677,0.0167,0.00842,0.127,0.696,143.362,316056,4,20.92283,11,0
Special Girl,Pholhas,spotify:track:6xeMhlnu45TUfqY9utQ0Lm,0.334,0.42,2,-11.132,0,0.0279,0.0192,1.25e-05,0.123,0.0909,77.793,187600,4,35.82577,8,0
