Obsession,Animotion,spotify:track:3N7GqZMpZJW69Te1bfUTc3,0.673,0.613,7,-11.997,1,0.0799,0.00436,0.362,0.608,0.415,114.748,337267,4,24.36487,11
Little Girl of Mine,The Cleftones,spotify:track:6YI7hHSjotVuw7czjRNCBN,0.441,0.589,8,-8.845,1,0.0751,0.446,0,0.155,0.961,199.729,192107,4,31.91696,11
All Day and All of the Night,The Remains,spotify:track:7ISfHKinKsCqvMEO5Mthsv,0.461,0.87,0,-7.493,1,0.189,0.00629,0,0.0568,0.647,140.354,180667,4,18.32804,10
Loaded,Primal Scream,spotify:track:7dSBZzVmyBaLDxT2v3EJHB,0.622,0.54,8,-14.741,1,0.0545,8.5e-05,0.629,0.84,0.87,91.139,422600,4,38.42587,13
Bring Down the Birds - Outtake,Herbie Hancock,spotify:track:1oOlZshAjrDcMjG4k1PsOT,0.704,0.388,8,-15.189,1,0.0549,0.0685,0.831,0.109,0.878,134.165,106307,4,18.98817,5
Grace,Jeff Buckley,spotify:track:113VT0dXCsqDAAfe8JQ2xm,0.546,0.865,2,-5.704,1,0.0455,0.113,3.08e-05,0.246,0.239,128.014,322147,4,28.67323,17
How Deep Is Your Love,Bee Gees,spotify:track:2E0kGMK29BUaVQN4zC3Vpj,0.623,0.189,5,-17.374,0,0.0291,0.271,2.24e-06,0.257,0.646,104.985,241360,4,19.66764,13
Simple Song,Avail,spotify:track:7tAXcpfuwnnlPYgJU3H1lA,0.279,0.984,7,-3.688,1,0.102,0.000251,0.135,0.135,0.363,105.223,192853,4,180.82825,3
Sadly Acknowledged,The Freeborne,spotify:track:7EEbBYhjjMpn12E1SVCj3b,0.408,0.517,9,-17.195,1,0.123,0.868,0.0922,0.444,0.648,105.209,88240,4,42.54998,5
Break Stuff,Limp Bizkit,spotify:track:4WJNMSihHL8e4hs9SkBq9C,0.432,0.884,8,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948,166707,4,56.89235,8
