Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
"Right Here, Right Now",Fatboy Slim,spotify:track:0qnqsfFYgBo0sPHM2JmfTq
River of Deceit,Mad Season,spotify:track:5EUsI3LIV042IV5ydksV9y
Stoned,Smash Mouth,spotify:track:7bFstEkOysInloEcaHzMUM
Satisfaction,TrÃÂÃÂ¤d GrÃÂÃÂ¤s Och Stenar,spotify:track:0DMSylg3xA9BLdPjdYnDxV
Je Cherche Un Homme,Eartha Kitt,spotify:track:3dlZQnkxnxZjTV860ixUHx
Little By Little,Dusty Springfield,spotify:track:5kiVZnjE0sbQ2fh4TfAk49
Walk Away Renee,The Left Banke,spotify:track:4wfK7KMFTFMNDDfKDe1aWi
Away,Toadies,spotify:track:2kwhtzTWtI3aRUqteNnxXj
West End Girls - Shep Pettibone Mastermix,Pet Shop Boys,spotify:track:56JlUxlgZS1ZFgjopdgdBt
Come Together,Spiritualized,spotify:track:7qSKmfnNq4PINemq8vFHp1
Here's Where The Story Ends,The Sundays,spotify:track:4SPi5Pl7aAtauFsH9Lk5LB
Bert's Apple Crumble,The Quik,spotify:track:1QSEYYt0nChExxn9Vtt3bv
Comedown,Bush,spotify:track:3cNQr1CoiXnJoGg6wiMik1
Just When You're Thinkin' Things Over,The Charlatans,spotify:track:6L8MryirN2Pd8HH64EKi3s
Try Me,James Brown,spotify:track:31usEzDUXeGWAheRaCeEaD
Pretty Blue Eyes,Craig Douglas,spotify:track:0MfuCrDvFBzJOmYhNJeLdE
Why Does It Always Rain on Me?,Travis,spotify:track:2ESrrtLRj1omqqsnGiyafo
Co-Pilot,New Kingdom,spotify:track:0bKxpPur7wIJm85HiLSHWz
Pepper,Butthole Surfers,spotify:track:1ng36571Iyov4HBxUClySn
September,"Earth, Wind & Fire",spotify:track:5nNmj1cLH3r4aA4XDJ2bgY
Hello Trouble,Buck Owens,spotify:track:6VeQUntNVQFfXjN94470on
Roman P.,Psychic TV,spotify:track:68Q2sSxAF8DiH4rnpkglt0
"Save Your Love (For # 1) - 12"" Mix",Rene & Angela,spotify:track:4LXXEL57VTuqAM5MvpEO9X
Project Blue,The Banshees,spotify:track:34XIVzrdgenM3cVCP9OV1k
March Of The Pigs,Nine Inch Nails,spotify:track:2Ad7XA54Jw0YyBF5rjiFyl
Malaguena,The Trashmen,spotify:track:31DIIFuzt511b93pem1OIu
You Belong To Me,The Duprees,spotify:track:1bgKnEPujoiQzz0pc6gdt7
Turn The Page,Metallica,spotify:track:0qBvoubmrmKDsknLBbOtUg
You Can,Madleen Kane,spotify:track:5voyo3rpCN1mtAa930dQaW
Airegin,Grant Green,spotify:track:3ccPNJ50ja94sxlEJGAU9k
Every Breath You Take,Otis Ligget,spotify:track:2W4zonY8CRr59U6Knm132T
Theme From Jurassic Park,John Williams,spotify:track:2TZbQZXOuR8osP2AK8yYMN
Break It To Me Gently,Brenda Lee,spotify:track:690qzM82UFSTJyYpJ7HpA6
Icing On The Cake - Edit,Stephen Duffy,spotify:track:3rVzcGWAyeQd85TQdsQ8df
Is She Weird,Pixies,spotify:track:3Ao3tTpiXLSmch1kTJZ7Fx
Fell On Black Days,Soundgarden,spotify:track:2AAO0bpq6Fad0jNSekFs8G
Needles And Pins,Jackie DeShannon,spotify:track:5XjwGD9z8AD14uPHVbcdBv
I Miss You So Much,TLC,spotify:track:6Wjtz36Bod5mr2c3jiXl1r
Got to Get You off My Mind,Solomon Burke,spotify:track:2aBa2XO23shN0lQjpL0G1K
Song 2,Blur,spotify:track:4F64QXRV1EGHSm5jIeMmcQ
Funky Ceili (Bridie's Song),Black 47,spotify:track:0AhVtK03RPWGalbHJ9J4ds
"Candy - Original 12"" Uk Mix",Cameo,spotify:track:1Wnxf7Nv0Q0ZPBFkjTjLED
Sex & Candy,Marcy Playground,spotify:track:669UUGJqllYeW8SoL7lxmB
Los Angeles,Frank Black,spotify:track:0Y6z8SN88GydlQPu96PCpl
Of Wolf And Man,Metallica,spotify:track:1cojSYj0ugS7tmcwKIxMX4
Big Dipper,Built To Spill,spotify:track:4eEkyvPuIZlhTURRxJ8HWt
Nancy (With The Laughing Face),Grant Green,spotify:track:2sZVgoGGZozwuN8QWHDVLQ
She's Got Everything,Bob Hocko,spotify:track:4v6AMwTjNo5UG1LPr4Q37U
I Wanna Be the One,Stevie B,spotify:track:6AOsz26oASRoCK1Cm1ioJP
You're The One That I Want,John Travolta,spotify:track:5k611PjxiTgNqt4FVr033f
Wives And Lovers,Grant Green,spotify:track:5WzMJO9jGI7ZyJBqAyD1sl
Locomotive (Complicity),Guns N' Roses,spotify:track:3GrDnXqbJ71MaPNu1iR6U1
"Ride, Cowboy, Ride",Billy Joe Shaver,spotify:track:00S7soLv1duo8pX4EFrCLe
For the Love of God,Steve Vai,spotify:track:5m5I3KcV83zf2p2qbsnr3y
Body Music,The Strikers,spotify:track:4NICmpWRO0traWh8pemNsR
Stuck On You,Failure,spotify:track:6kBODAu0J7doZnLpnwBROy
(Love Is Like A) Heat Wave - Single Version,Martha Reeves & The Vandellas,spotify:track:3EyLSmOtkehB1cnZ57CAwf
California Dreamin',The Mamas & The Papas,spotify:track:7BsD3xcEhgTmc4zegwbkHj
Easy,Faith No More,spotify:track:4zzvMG8KrsykYtvFEJ99Cl
Nobody's Fool (Live),Cinderella,spotify:track:6GCLkoKIWIx82anrMOwCHt
"Tammy's Breeze - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:1g8IFeH8zdYP9rDgUSYcI0
Black Leather,Guns N' Roses,spotify:track:2dsamqceYOKqLNx2Ch6Zhz
Camel Walk,Southern Culture on the Skids,spotify:track:6vZWOl1dkLGOydL7V2Q51g
Dust N' Bones,Guns N' Roses,spotify:track:4vtXsXvSYaTfKQ0dJXbJGu
Your Place Or Mine,The Bar-Kays,spotify:track:3YF27btY0N7oIwf2zK5pT4
I Have But One Heart,Al Martino,spotify:track:1bhUYCs8S2wtfUFzFExJJB
One,U2,spotify:track:3PKtemUKxiDBvBo7tpQ8bG
"Sing, Sing, Sing (Parts 1 & 2) - Live",Benny Goodman,spotify:track:62vTAAowSo0jHSUvVI7Xsh
War Pimp Renaissance,Lard,spotify:track:3hq0eo4tW4NAlb7F0l8sw2
Cavern,Liquid Liquid,spotify:track:37wuwV4Y7v2e3kLyvt2fAI
Appreciation,Alicia Myers,spotify:track:59e3S0ibU1gfisCuPdNy5x
Holdin' on to Yesterday,Ambrosia,spotify:track:2qskl6fLZbBN1EPMQ20hHU
Searching to Find the One,Unlimited Touch,spotify:track:1a0MtMZ19M9Nry9oI34jkT
Genie in a Bottle,Christina Aguilera,spotify:track:6onLnWywmbSnXDFPVY1mM6
Turn Me Loose,Wally Jump Jr.,spotify:track:780o2QTv03kX9johrW4hyf
Svefn-g-englar,Sigur RÃÂÃÂ³s,spotify:track:07eGxuz8bL6QMsRqEe1Adu
Don't Knock My Love,Ronnie Foster,spotify:track:4EHlVZijbAKu0yMxeoHi73
Piece of My Heart,Janis Joplin,spotify:track:2RWraN4ZkuqjcNQAlBNGEH
Triplets,Hansson & Karlsson,spotify:track:18xjwBeNN9n8oyQv5xnbBM
Touch Me,Wish & Fonda Rae,spotify:track:66EZ40VtrmqXmsfYJjeogM
Doowutchyalike,Digital Underground,spotify:track:6DxYLuDG7QvbsqSK8DG9UI
Gonna Get Along Without You Now,Skeeter Davis,spotify:track:6j13wUu2T40hhs4ihv17H5
The First Day Of Spring,The Gandharvas,spotify:track:3KrR1T5t0hfYuz4DFoBrlF
Leader Of The Pack,Utfo,spotify:track:1FnGG1xbt6ouP2eYpLF9KO
Let the Rhythm Pump,Doug Lazy,spotify:track:5cyARi8u6Av4a2oztosY4L
a) Eleanor Rigby b) ELDS - Live Version,Vanilla Fudge,spotify:track:79TWsarw2hV8iP8soQEyiO
Metal Meltdown,Judas Priest,spotify:track:679lDz2Jn7TOD6LRl2gM8y
The Medicine Song,Stephanie Mills,spotify:track:0YHgQnCiCfjKq3onzayWy1
Nearly Lost You,Screaming Trees,spotify:track:7qzFXUvBk7lELXuxVREypV
The American Way,Sacred Reich,spotify:track:2SA2tTWoELC0ciMuYRfbpT
Dead End Street,Lou Rawls,spotify:track:6Uy6pDJy8mHCGqdcUAHYbT
It All Depends on You,Craig Douglas,spotify:track:3mPYh8UShQl4S4uHcE1026
Angels Listened In - Unreleased Version,Johnny Maestro,spotify:track:61ChafRrGcbjNiWaNUpQVa
Somebody To Love,Grace Slick,spotify:track:2nHaqjs0xN8RQjFo2asYYH
Like a Rolling Stone,The Remains,spotify:track:5e12jjKV3BDzef2blHHaJj
The Tide Is High,The Paragons,spotify:track:6sCkLCSXMMf9q3ArEAsWnQ
Alright,Supergrass,spotify:track:5xC8uOesnn0udeXAYlAnoY
Just Dropped In (To See What Condition My Condition Is In),Kenny Rogers & The First Edition,spotify:track:5UJK3YawmmwvAhITs17BUx
All That I Am,Joe,spotify:track:5F7HjYOGv2COHhhPMkS5NE
Chanson D'Amour,The Manhattan Transfer,spotify:track:4QxQSsPRUqUkJSZZKIXhGi
And the Angels Sing,Della Reese,spotify:track:1kP0auRqZ5eeKnE3NcFjvh
Done,Deep Blue Something,spotify:track:5dM4jxiNYlH5ZW0ZWTewIN
Sodajerk,Buffalo Tom,spotify:track:01yf7D8hFdCUnR9o375ikg
Burn a Hole,Skin Yard,spotify:track:7fJZisLc35j8EbIQxTFx8b
Speak of the Devil,Things To Come,spotify:track:0BsN9w3KKYx26Cy7VtRPmS
Limited Edition,Janitor Joe,spotify:track:65l0Vx9X2UUqtT1wb52LPQ
My Own Prison,Creed,spotify:track:5vRPXm59z8ewWO6WiJHg3m
Surf Wax America,Weezer,spotify:track:1w8gsT5RBrFfTrLYhDRJIk
My Wave,Soundgarden,spotify:track:72sEcstXfHSj4M7H8qOSLX
Get Off This,Cracker,spotify:track:4JkXSTZzuj4FpvfFkc6qnu
Freak of the Week,Marvelous 3,spotify:track:5eR2WL7ZHLpGv5PfFT9iEJ
When You Sleep,My Bloody Valentine,spotify:track:3HfEgAaf0koxBpBB8NvGda
Orgasm Addict,Buzzcocks,spotify:track:2f9j7k2Rm3dGvdU3bhjpHV
Surfin' Bird,The Trashmen,spotify:track:58LVNLjFvt50ERUG3cidjF
Wish,Nine Inch Nails,spotify:track:0XfNjyJcb7d2ZAscVM4K7J
I Apologize,Timi Yuro,spotify:track:6oYXOWb4Cf3frnvOREtISE
Corazon Contento,Palito Ortega,spotify:track:0ADCWxg2OXez898qqburJF
Flood,TOOL,spotify:track:1ZzzgXjX1bHroTSMoShdMe
Thunderstruck,AC/DC,spotify:track:57bgtoPSgt236HzfBOd8kj
Black Metallic,Catherine Wheel,spotify:track:0jmyo9QOmFbjDCYpNaPDhy
Je Suis Passee,Hard Corps,spotify:track:1CFa0R8rjzJdALU5r59mR2
Tired Of Sex,Weezer,spotify:track:42hDrA9GTkuvpxjLtAshct
Nihilism,Rancid,spotify:track:5g1jCZ5cQuPw6YvEkd7Yni
If You Don't Know Me by Now (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,spotify:track:3oI95Uihdvu7uCiirC1DQA
O Amor En Paz (Once I Loved),Duke Pearson,spotify:track:1ipvFATieZMmvsUiFAPUni
Mouth (The Stingray Mix),Bush,spotify:track:574GV7oiC0XR6MU7lI4r2h
Shakin' All Over,Johnny Kidd & The Pirates,spotify:track:6Xv160PuntxAtb67Ed4t4I
Laughing,The Church,spotify:track:464rZwo7C2lSY3KW4Quwkz
Tragedy And Mystery,China Crisis,spotify:track:1LEOr5uGbxe62Ul8I9XHiC
It's About Twilight Now,My Morning Jacket,spotify:track:0C9J9HuYDtd1ao9tsP0MEH
Laid,James,spotify:track:2CdS3DRqWR5LAhy4hM5X9W
This Is Mine - Filmix,Heaven 17,spotify:track:14agDsG2hUQJB36M6itI7H
My Own Summer (Shove It),Deftones,spotify:track:1158ckiB5S4cpsdYHDB9IF
Superunknown,Soundgarden,spotify:track:6shF79BmasRYo0ktqAvmXz
No Time Like The Right Time,The Blues Project,spotify:track:07kuRcEnMl73lEu1YVbx01
"Touch, Peel And Stand",Days Of The New,spotify:track:0eKCfj7xCuJNoYrLlSJe59
Silly Wasn't I,Valerie Simpson,spotify:track:58t2Uqz6FPB6CrMEJrzvdN
No Friend of Mine,Bob Hocko,spotify:track:6Fw5VIq9TFu9P9Utmmjuc4
Transylvanian Concubine,Rasputina,spotify:track:32ld9N8e1101MHfc1vNPIV
Instant Coffee Blues,Guy Clark,spotify:track:1yYJF5KYkFDMAtF48OrMHQ
Rubber Biscuit,The Chips,spotify:track:5fPPeag1ji3NRN7L3qxQP4
Downtown,Petula Clark,spotify:track:6WwoEE06UHJkFuzytECQ49
Twisty Mirror,Holly McNarland,spotify:track:1vzgRs2MkvoX1K056S66fO
Stop The Rock,Apollo 440,spotify:track:2P2WxNOdEjjJ98dIeajyqu
I Remember,Spear Of Destiny,spotify:track:2c8XMqRPoFLBLNMxWhpKTN
Only in My Dreams - Extended Club Mix,Debbie Gibson,spotify:track:5zgPy0vOQr4lKWcqunGltC
Be-Bop-A-Lula,Gene Vincent & His Blue Caps,spotify:track:287s80vbsW9ehK9M5fTwAo
"Shook Ones, Pt. II",Mobb Deep,spotify:track:33ZXjLCpiINn8eQIDYEPTD
Have I the Right,The Honeycombs,spotify:track:3DzwsdqmeL60taVeshJ8WP
Killing Me Softly With His Song,Fugees,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl
I Want To Be Wanted (Per Tutta La Vita) - Single Version,Brenda Lee,spotify:track:3J073InBcpiVVLIqmPdYXE
Time After Time,Ozzy Osbourne,spotify:track:1U7WBCkBxc7bGeP6v5juEq
Deep Inside of You - 2008 Version,Third Eye Blind,spotify:track:06iQLLK93Dlv7RcvzmZo2g
Ridin' High,Ella Fitzgerald,spotify:track:0mbcFRq4ltqesNbbywKqQM
I Can't Dance To That Music You're Playin' - Single Version / Mono,Martha Reeves & The Vandellas,spotify:track:3re2GxjnWEhou2AMmbyL0n
Bullet Proof Cupid,Girls Against Boys,spotify:track:4L8MJUL2V2Bgmabt29U8Jv
Lions,Tones On Tail,spotify:track:5da1FAYjU6rxJCtC7I485I
Please Mr. Sun,Tommy Edwards,spotify:track:5FtczIMM0wilBq6sNjGgdW
Tommy The Cat,Primus,spotify:track:0kquzTsZG4m9qmLJaPSY9U
Sick Child,Siouxsie and the Banshees,spotify:track:3IwJmL7ztDQr2p46dH48lr
Smooth (feat. Rob Thomas),Santana,spotify:track:0n2SEXB2qoRQg171q7XqeW
Savory,Jawbox,spotify:track:2ETGuTChPhwWge4syLqu9N
Showing Out (Get Fresh At The Weekend) - Extended Version,Mel & Kim,spotify:track:06BZjvTKEriPXLarbJa8Up
Sincerely,The Moonglows,spotify:track:7oPG2EgYDp8nuVO4FTbUgO
Stagger Lee,Lloyd Price,spotify:track:4MUGG9mgDUP8dlaS3AAeg0
Shadows,The Five Satins,spotify:track:3JeN8VELWzS0j91jddgsYb
Love Itch,Roshelle Fleming,spotify:track:1cFrT0fB3AHn7H0hjkDAZC
Volcano Girls,Veruca Salt,spotify:track:3cMliO9emUSa4d1Ap2MbfW
Willy the Wandering Gypsy and Me,Billy Joe Shaver,spotify:track:3VpO5EiRR22vBKJwTHIBMp
When We Glow,Tristeza,spotify:track:2TyfNCcttA6UH771ZlEBsx
Tear the Top Right Off My Head,The Monkees,spotify:track:5J2e0W9z4S3k7Gtj1IXTs7
Back Together Again (feat. Donny Hathaway),Roberta Flack,spotify:track:065o5Vhiq7Dx6JXF0e33S8
Sugar,System Of A Down,spotify:track:31RTFPrB7wmYBhlkM2ILXG
Oh No Not My Baby,Manfred Mann,spotify:track:3MrvN0HgTZ6ArkfaXCHpRB
All My Love,London Philharmonic Orchestra,spotify:track:26KMXEdlXswkYDWIIFIz9d
Grey Cell Green,Ned's Atomic Dustbin,spotify:track:3uVCJvMFKmsj9P44vNHfx1
Tua Boca,Itamar AssumpÃÂÃÂ§ÃÂÃÂ£o,spotify:track:4CyG1iMACBSBxRlQY2muys
Biff Bang Pow,The Creation,spotify:track:4PxDVjC6cl9sRO7se4k4RD
Sunflower,Paul Weller,spotify:track:3jNiTRBaeL75zWFRWf2W6j
Needles,Handsome,spotify:track:6try2MFpWKn55HnMNS7vZz
Funky Thang,The Bar-Kays,spotify:track:5WANqmURtGMYnrWUYaefyU
Stinkfist,TOOL,spotify:track:0pwObEOHolQZSldJ2q1wpy
You Could Have Been a Lady,April Wine,spotify:track:27ALo93aptxGsoJv660rK9
Rave On,Buddy Holly,spotify:track:7jPKMlLGZAMnGntHaFeU12
It's Your Thing,The Isley Brothers,spotify:track:2oezpnnea1VXHpJEbqnBhw
Fortune Teller,Sugar,spotify:track:3kFuIYz4jYu1Wgq5HuFnid
Thanks to You,Sinnamon,spotify:track:7r6YcBQfamIP8rRZK4sNo9
Wonderwall,Oasis,spotify:track:79RUMZfMNMpqZnswovvTqv
River Runs Red,Life Of Agony,spotify:track:5WmSYclkYNnon45HYYgdqH
Skinny,Filter,spotify:track:6Xt4PV11t56ccd1ff8NIwj
Children Of The Sun,The Misunderstood,spotify:track:6nsQPeq0yDD44D7yZKQhVw
Stoned Soul Picnic,The 5th Dimension,spotify:track:6AZQVQiAggqRlTR6ien7Cy
Super Crush,Tiger Trap,spotify:track:1rflg5WUTBLztF4xeFQTmh
Erase / Rewind,The Cardigans,spotify:track:2UY4BdOZ7Ncfke96BBUTzM
Tilebreaker,Polvo,spotify:track:5Fj33P5LI3Bz6ZYRfnNfMC
Walk On The Ocean,Toad The Wet Sprocket,spotify:track:6DfvtrAhkXb6ruEaTGdA8r
Number Nine Train,Dale Hawkins,spotify:track:548dJdsaH4JKHdYlIsDAT9
"Testure - 12"" Mix",Skinny Puppy,spotify:track:2ukDy63O2dYQ72NVsGWm1R
Shitlist,L7,spotify:track:7fxpqs4G8vj3rFYbJnsG7w
Rainmaker,Sparklehorse,spotify:track:7itRHwqI2R3FUkmyeQba4P
On Green Dolphin Street,Grant Green,spotify:track:6gqpJqDXHqu5KyLNKB3isv
Say It Ain't So - Remix,Weezer,spotify:track:3MDmJDJlReM4fTYvgcQvy2
Play It Back,Dr. Lonnie Smith,spotify:track:4xctl0zK5BjbevWdQ9kBFZ
Black No. 1 (Little Miss Scare -All),Type O Negative,spotify:track:6HtFpG2WX3TfB8oLLua3XJ
Walkin' Back to Happiness,Helen Shapiro,spotify:track:4JiNnZnuGvnmNDf4c9zYf9
Veronica Sawyer,Edna's Goldfish,spotify:track:3hDBYE7YnUBO8Stzc4jOpr
Forty Six & 2,TOOL,spotify:track:6AioOohg4bQZFA4jIYQQ2r
Touched,Vast,spotify:track:6GHSAsG90unrc5tTguNj4f
Grant's Tune,Grant Green,spotify:track:7aElqelRNBFva1NAnKcRav
Can I Get A...,JAY-Z,spotify:track:4LGMSdeKOUoy5Wf75Je0Hl
Doctor Doctor,UFO,spotify:track:0k6WmaM1k6gegrjKY8vmtJ
In The Meantime,Helmet,spotify:track:6mHgOGBDLM71YzKcwAyiXi
Baby I Need Your Loving - Stereo Version,Four Tops,spotify:track:72R1sr4mncDZZm6NqVt1j2
Yoo Hoo,Imperial Teen,spotify:track:5TFuoZmzM4BAQLgSYnwPqY
Army Ants,Stone Temple Pilots,spotify:track:6Hv2dcv2Ph9qgpghww6VQf
Baby What You Want Me To Do,Steve Aldo,spotify:track:2I5zbhOmlEMdaAJihFZUFT
Joe Lies (When He Cries),The Bouncing Souls,spotify:track:2zXjx1m2fV6E9aPPK3ScbI
Walk On the Ocean,Toad The Wet Sprocket,spotify:track:2JAECj9kBYQHb8AqJ2rsxt
Seventh Heaven - Remix,Gwen Guthrie,spotify:track:2uVqOdN43iqGOCJ5psumY0
Don't Stop The Music,Yarbrough & Peoples,spotify:track:6DinqTqzIQy218691HBZtH
Scooby Snacks,Fun Lovin' Criminals,spotify:track:1OFvNaRHw4QkUzWf1aZw1V
Come Out and Play,The Offspring,spotify:track:5Kz42qOmP4pFuPeCJQc9yD
Before You Go,Buck Owens,spotify:track:0Bhfhsi2ehF1oBn4i5a8IW
L.A. Freeway,Guy Clark,spotify:track:3pjBDj6wQRSMNqGTQJuPej
What Do You See,Cause & Effect,spotify:track:6HeEIgsH8qKxDT5z7TfCTe
Corazon Espinado (feat. Mana),Santana,spotify:track:2WoqgtWEBbbBKMDN6Becs7
It's All In The Game,Tommy Edwards,spotify:track:01OFUZ8btJxFI6n5igQUqx
"She's Strange - Original 12"" Mix",Cameo,spotify:track:1e6nbeqoCHuseOOhSj2eng
"Summertime, Summertime [Original Club Mix]",Nocera,spotify:track:0tFlfpmttDRM3dhDhQVJbq
Spend My Life with You,Eric BenÃÂÃÂ©t,spotify:track:58s4iqgXFzXhBndBkg2AaD
It Takes Two,Marvin Gaye,spotify:track:14NVzD8MXI9hCvKK6FSJaI
Half,Soundgarden,spotify:track:7p58tSKtFGARyPOmjvv6wi
Tiene Espinas El Rosal,Grupo CaÃÂÃÂ±averal De Humberto PabÃÂÃÂ³n,spotify:track:1PZ3QsCFec05Ls3PwOqKXZ
Fire Water Burn,Bloodhound Gang,spotify:track:7FkyQsWH9mmxoYLCNj4f8y
We Are the Young,Dan Hartman,spotify:track:4R9PY7rOJuI5lWAK73lTaD
Say Yes,Elliott Smith,spotify:track:1PyPK82Vd79mBJcuqA4Dv1
Dream Baby Dream,Suicide,spotify:track:3MmogIpfk1GVXRMmRjKLGI
But It's Alright,J.J. Jackson,spotify:track:1ZUJZkV29qWIF4jst1brN3
My Name Is,Eminem,spotify:track:66LCa77E7ux7S6oT0YfRBn
Crosstown Traffic,Jimi Hendrix,spotify:track:7oVqbYLuql1XFKTpQQKn5s
Diadems,Megadeth,spotify:track:7aYmVbHUMMi8Ahgop4RAKM
Panic in Cicero,The Jesus Lizard,spotify:track:1FNKzIV511sGyGgjKHOhTZ
Talk To Me,Chico DeBarge,spotify:track:02iG08jjPlK4Zrw1yy95le
J'aime les filles,Jacques Dutronc,spotify:track:5dg1C0ZZ87QL4dZCfPI2z1
One,Aimee Mann,spotify:track:5e7OZ8PyDJYQdGAiidCPad
Excuse Me While I Drink Myself to Death,Spent,spotify:track:2wOmDW0ne0pGGHNY2V5VV6
Hurricane Ride,Ram Jam,spotify:track:2CB7oV1UwHRSHCqjllKt7m
The Closer I Get to You,Roberta Flack,spotify:track:44jdxE3S8EX1lOAxV9vQbZ
Just Us,Two Tons Of Fun,spotify:track:71fnf5q09LNyx6MEEBDwSA
I'd Do Anything For Love (But I Won't Do That) - Single Edit,Meat Loaf,spotify:track:5BmkQH84Dm4jgVbepEfGuq
Eccentric Man,The Groundhogs,spotify:track:2n1OihJMKb7Bds1DO76rFb
I Say A Little Prayer,Reuben Wilson,spotify:track:0wvP9RjM9TQ7Z25FG2uM5f
Happy Days,Northend & Michelle Wallace,spotify:track:0j7GkuzrnCBdU1XnuKl8ve
Once,Pearl Jam,spotify:track:4nRyBgsqXEP2oPfzaMeZr7
Chains of Love,Piero Piccioni,spotify:track:1cnDtWvcBIWpklcbTr9eW5
Dejenme Si Estoy Llorando,Nelson Ned,spotify:track:7BWIcYo0ywKphhJy3zVgdQ
Bombtrack,Rage Against The Machine,spotify:track:2rBHnIxbhkMGLpqmsNX91M
It's Cold Outside,The Choir,spotify:track:5ScW4qn0ZjVktOLxOT3MM8
On Bended Knee,Boyz II Men,spotify:track:4Gmkqn3V7IMTkOmmiX7cbb
La sirena varada,Heroes Del Silencio,spotify:track:185xDOLU8KPZKqhUICnjRz
"The Good, The Bad And The Ugly - From the film ""The Good, The Bad And The Ugly"" released through United Artists",Hugo Montenegro & His Orchestra,spotify:track:3iEABTE7uVYkVQA8wCUnVZ
All Along the Watchtower,Jimi Hendrix,spotify:track:7xdLNxZCtY68x5MAOBEmBq
Machinehead,Bush,spotify:track:1Z5LCXu5Ca3sHAy6OdUrBT
Push Th' Little Daisies,Ween,spotify:track:6VYGSmBcn3BaAKao3bo2UV
Kill the Sexplayer,Girls Against Boys,spotify:track:4zLsWBfBz6pfDanaVb2GTN
Magdalene,Alice Donut,spotify:track:74FiADUmUq95m2vKKc0UHA
Dragula,Rob Zombie,spotify:track:6Nm8h73ycDG2saCnZV8poF
Drinking in L.A.,Bran Van 3000,spotify:track:4WEaJQLlhlkOU7YJDLhn7x
All The Small Things,blink-182,spotify:track:2m1hi0nfMR9vdGC8UcrnwU
Tier,Rammstein,spotify:track:0S2UfCA5A275xChEi9a6vU
A Sunny Day,Jon Lucien,spotify:track:1ksONaDHfoxl4Jcwhbe1he
Keep On Running - Mono Version,The Spencer Davis Group,spotify:track:6ftH8Mtm6seGGTA8e4jooj
Pirate Love,Johnny Thunders & The Heartbreakers,spotify:track:3Z69QJNqxE85Pe1TonrLh9
Lithium,Nirvana,spotify:track:07hCnHx9DhqZg5eN6RvCbd
Constitution,Bazooka Joe,spotify:track:55rL4cPJdiqZxA8gP1sWa7
Enter Sandman,Metallica,spotify:track:5sICkBXVmaCQk5aISGR3x1
Sally Go 'Round the Roses,Grace Slick,spotify:track:1w7Gu4ohc5YLkgJMdRwin1
Sell Out,Reel Big Fish,spotify:track:6SJ1hWFVBIiUgGgHKvwXCQ
Story Untold,The Nutmegs,spotify:track:4wy0HqOrbLLzsg9WMEod2v
Busta's Lament,A Tribe Called Quest,spotify:track:4R8XY2fcKNW4zNug9Y1WLJ
Tones Of Home,Blind Melon,spotify:track:5Cr8DxrjyP2fS93XjGXlFl
Rave Down,Swervedriver,spotify:track:21hNMhQSyxvaaLkeaXbf6z
More Than Words,Extreme,spotify:track:2SbsvihBJmgNKZ4qkXFWrp
The Hippy Hippy Shake,The Swinging Blue Jeans,spotify:track:3CQRcM0crUAiZUf1n51ecD
Groove Is in the Heart,Deee-Lite,spotify:track:2He3NOyqtLNE3RQPpeDdSb
Papa's Got A Brand New Bag (Parts 1 & 2) - Single Version,James Brown,spotify:track:1xtOlQlBVukv73hfBQz8Ee
Temptation,Slayer,spotify:track:3dXmyOIEHza2NatuY8DK6h
With A Girl Like You,The Troggs,spotify:track:26RTO9YFd1sSjzQrfmhG5J
She,Green Day,spotify:track:4wsQGsdf8D0Bj26cGdvreB
Welcome To The Pleasuredome - Pleasurefix Mix,Frankie Goes To Hollywood,spotify:track:3cFREflP5vEvSW8ywctn0B
Tragedy,The Fleetwoods,spotify:track:7r60cjhpBJxUuU631Q5YGd
Some Of Your Lovin',Dusty Springfield,spotify:track:3nwEmthjrWTwnhbFVujVbk
I'm Not Talkin',Things To Come,spotify:track:11aKIqBMnejsMcj9PAteyS
Civil War,Guns N' Roses,spotify:track:6i4Qi1mJxXjqNIL9HfJhRs
High on Love,The Knickerbockers,spotify:track:4naJ8j7Lm2XeH60VBX6Q7V
Sunny Afternoon,The Kinks,spotify:track:1sEbWY6zZpmNouj0kPN4XS
Knot,7 Year Bitch,spotify:track:2mbkCcSVDaPuvObj9A4nKv
Gonna Make You,The Troggs,spotify:track:6Myz7niPRTII2eXaa27T5N
Alive With Love - A Love Letter,Tina Fabrique,spotify:track:4N7X8mkFkjpf0yS29MxITP
Crawlin',The Clovers,spotify:track:6hlcnjLgyS3WoLiKLGdS69
Make My Day,MotÃÂÃÂ¶rhead,spotify:track:3rNWJumdvy6JJUZGC7ejPY
Retarded,The Afghan Whigs,spotify:track:2ShzfroHNM1WZRJXrU3kgw
V1NC3NT COM3 ON DOWN,Brainiac,spotify:track:5UCKBf67aFwckcibLTb2X3
I Should Be Proud - Single Version / Mono,Martha Reeves & The Vandellas,spotify:track:4xonEx13uwuCAPeb75skBy
My Boyfriend's Back,The Angels,spotify:track:5NiFSI8iIDtVm1NCwdYrHS
Give And Take,Brass Construction,spotify:track:2RSbaCKRAjCDLQ1HlZ3Ped
