Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
Go Go Gorilla,The Surfin Gorillas,spotify:track:3xzt8nVnKYyiiyDGfUusY2
San Franciscan Nights,Eric Burdon & the Animals,spotify:track:7HgvOarjz4hTGBssqQyNlV
Forgot About Dre,Dr. Dre,spotify:track:7iXF2W9vKmDoGAhlHdpyIa
Don't Cry,Steppenwolf,spotify:track:2CygQneLeZJ0xXcQCWCmNu
Nutshell,Alice In Chains,spotify:track:2JuasWPUodaUxf5nwNpciQ
Mansize Rooster,Supergrass,spotify:track:5afa3W4rCWxEWeXW3hWMRe
You're a God,Vertical Horizon,spotify:track:758wp6xs3ADdgIwdeHoXmX
Bed Of Roses,Judy Clay,spotify:track:0MHcCMOEEN0XTfY6flFb7j
Lightning Crashes,Live,spotify:track:48iWbsOaBUAGzMdoSmqyg1
Wrong Tube (Edit),Swirlies,spotify:track:2wsdZUcnJGTPSp45bJ16y2
Sealed With A Kiss,Brian Hyland,spotify:track:6oM4ryXpuZmbFfBv2sEe7v
Solid,Grant Green,spotify:track:3EAUgtBGYPNaX3vJ9IPCip
You and Me Just Started,Linda Taylor,spotify:track:5YKj3GJkiWJ53B3757HuaB
Paranoid Android,Radiohead,spotify:track:2nTsKOXIVGDf2iPeVQO2Gm
Yes! I Am a Long Way from Home,Mogwai,spotify:track:2qIfUXMJV7U3dwJssM2BsN
Whoever You Are,Geggy Tah,spotify:track:14XdJB1WfIFbH1Yh4mcxYu
Auslander,Living Colour,spotify:track:0XtTvPRz4OMPITP8zM9jim
Souls of Black,Testament,spotify:track:5zAN2OQJsmcBVG1oO5QroD
Little Girl Blue,Grant Green,spotify:track:4ne5gDlirhCLSLivQ2yOlR
The Rhythm of the Night,Corona,spotify:track:5IPJsGFKtxKDPCkT8lhEjN
Dine Alone,Quicksand,spotify:track:27X1P8USDRbZ5RNjbbQ9d1
Fungi Mama (Bebopafunkadiscolypso),Tom Browne,spotify:track:73JWSmA5EGjKULcYfeKX60
Antihero,The Appleseed Cast,spotify:track:0sB5lf6sXX1jyQJlgj6eb3
Lady of the Night,Ray Martinez and Friends,spotify:track:6XUHmZ0EEcgFZviDy1n6NT
Who Was In My Room Last Night?,Butthole Surfers,spotify:track:6DVNQXL9LRzKq8zjyFEuTC
Everything To Everyone,Everclear,spotify:track:6BdD561PmmMhpUYI7Qhaut
I Melt With You - Rerecorded,Modern English,spotify:track:78ocJAEFOYKVjYgXZ8fggD
